name,description,service,pid,request_header,response_header,request,response_prefix,module,bus,equation,units,minimum,maximum,vehicles,platform,engine,transmission,confidence,status,source_count,validation_method,notes
MAP pressure,Intake manifold absolute pressure,01,0B,7DF,7E8,010B,410B,ECM,HS-CAN,A,kPa,0,255,GM OBD-II,any,any,any,Rejected,no_data_live,2,Live one-off returned NO DATA,Live Enclave 2026-08-06 returned NO DATA despite earlier candidate status
Engine RPM,Standard engine speed,01,0C,7DF,7E8,010C,410C,ECM,HS-CAN,((A*256)+B)/4,rpm,0,16383,2022 Buick Enclave,C1XX,LGX,9T65,Confirmed,existing,2,Compare tachometer,Known awake sanity check
Vehicle speed,Standard vehicle speed,01,0D,7DF,7E8,010D,410D,ECM,HS-CAN,A,km/h,0,255,2022 Buick Enclave,C1XX,LGX,9T65,Confirmed,existing,2,Compare speedometer,Guard off-state garbage
Timing advance,Ignition timing advance,01,0E,7DF,7E8,010E,410E,ECM,HS-CAN,(A/2)-64,degrees,-64,63.5,2022 Buick Enclave,C1XX,LGX,9T65,Confirmed,confirmed_live,2,Live idle response,Live Enclave 2026-08-06 returned 7E8 03 41 0E 9A decoded as 13 degrees
Intake air temperature,Standard IAT,01,0F,7DF,7E8,010F,410F,ECM,HS-CAN,A-40,C,-40,215,2022 Buick Enclave,C1XX,LGX,9T65,Confirmed,existing,2,Cold ambient and warm-up,Current WiCAN converts to F
Mass airflow,Standard MAF,01,10,7DF,7E8,0110,4110,ECM,HS-CAN,((A*256)+B)/100,g/s,0,655.35,2022 Buick Enclave,C1XX,LGX,9T65,Confirmed,existing,1,Idle and throttle behavior,
Throttle position,Standard throttle position,01,11,7DF,7E8,0111,4111,ECM,HS-CAN,A*100/255,%,0,100,2022 Buick Enclave,C1XX,LGX,9T65,Confirmed,existing,1,Pedal/throttle behavior,
Engine runtime,Time since engine start,01,1F,7DF,7E8,011F,411F,ECM,HS-CAN,(A*256)+B,s,0,65535,2022 Buick Enclave,C1XX,LGX,9T65,Confirmed,existing,1,Reset after start,
Fuel level,Standard fuel tank level,01,2F,7DF,7E8,012F,412F,ECM,HS-CAN,A*100/255,%,0,100,2022 Buick Enclave,C1XX,LGX,9T65,Confirmed,existing,2,Compare dash and guarded derived value,Raw can drop to zero while asleep
Barometric pressure,Standard barometric pressure,01,33,7DF,7E8,0133,4133,ECM,HS-CAN,A,kPa,0,255,2022 Buick Enclave,C1XX,LGX,9T65,Confirmed,confirmed_live,2,Live response,Live Enclave 2026-08-06 returned 7E8 03 41 33 65 decoded as 101 kPa
Control module voltage,Standard module voltage,01,42,7DF,7E8,0142,4142,ECM,HS-CAN,((A*256)+B)/1000,V,0,65.535,2022 Buick Enclave,C1XX,LGX,9T65,Confirmed,confirmed_live,3,Compare charging voltage,Live Enclave 2026-08-06 returned 13.5 V and matched user-reported 13.4-13.8 V charging range; can be invalid while off
Relative accelerator position,Standard relative accelerator position,01,5A,7DF,7E8,015A,415A,ECM,HS-CAN,A*100/255,%,0,100,GM OBD-II,any,any,any,Rejected,no_data_live,2,Live one-off returned NO DATA,Live Enclave 2026-08-06 returned NO DATA
Engine oil temperature,Standard oil temperature,01,5C,7DF,7E8,015C,415C,ECM,HS-CAN,A-40,C,-40,215,GM OBD-II,any,LGX,9T65,Rejected,no_data_live,2,Live one-off returned NO DATA,Use confirmed enhanced 221154 instead on this Enclave
Engine fuel rate,Standard fuel rate,01,5E,7DF,7E8,015E,415E,ECM,HS-CAN,((A*256)+B)/20,L/h,0,3212.75,GM OBD-II,any,LGX,9T65,Rejected,no_data_live,2,Live one-off returned NO DATA,Existing standard 9D fuel rate remains separate and already configured
Driver demand torque,Standard driver demand torque,01,61,7DF,7E8,0161,4161,ECM,HS-CAN,A-125,%, -125,130,GM OBD-II,any,LGX,9T65,Rejected,no_data_live,2,Live one-off returned NO DATA,Live Enclave 2026-08-06 returned NO DATA
Actual engine torque,Standard actual engine torque,01,62,7DF,7E8,0162,4162,ECM,HS-CAN,A-125,%, -125,130,2022 Buick Enclave,C1XX,LGX,9T65,Confirmed,confirmed_live,2,Live idle response,Live Enclave 2026-08-06 returned 7E8 03 41 62 90 decoded as 19 percent
Engine reference torque,Standard engine reference torque,01,63,7DF,7E8,0163,4163,ECM,HS-CAN,(A*256)+B,Nm,0,65535,2022 Buick Enclave,C1XX,LGX,9T65,Confirmed,confirmed_live,2,Live response,Live Enclave 2026-08-06 returned 7E8 04 41 63 01 42 decoded as 322 Nm
Transmission actual gear or ratio,Later standard transmission PID,01,A4,7DF,7E8,01A4,41A4,ECM/TCM via OBD,HS-CAN,PID-defined multi-byte,gear/ratio,,,2022 Buick Enclave,C1XX,LGX,9T65,Rejected,no_data_live,2,Live one-off returned NO DATA,Live Enclave 2026-08-06 returned NO DATA in Park
Odometer,Standard odometer,01,A6,7DF,7E8,01A6,41A6,ECM/cluster via OBD,HS-CAN,raw_km/10 converted to mi,mi,0,,2022 Buick Enclave,C1XX,LGX,9T65,Confirmed,existing_verified,2,Compare cluster,Existing WiCAN [B3:B6]*0.0621371 matches dash
