source_id,title,url,source_type,publisher,author,date_accessed,vehicle_relevance,credibility,notes
SRC026,Torque extended GM PID discussion,https://torque-bhp.com/community/main-forum/some-extended-gm-pids-found-online/,forum/community,Torque Forum,,2026-08-06,GM extended PID structure,medium,Explains prefixing 22 to GM PID list IDs and common equations; discusses 22199A current gear
SRC027,2022 Cadillac XT5 K20 ECM scan tool information,https://lemon-manuals.la/Cadillac/2022/XT5%20Livery%2C%203.6L%20Eng%20VIN%20S%2C%20FWD/Repair%20and%20Diagnosis/General%20Information/OEM%20General%20Information/Vehicle%20Diagnostic%20Scan%20Tool%20Information%20%282%20Of%203%29/Specifications/K20%20Engine%20Control%20Module%3A%20Scan%20Tool%20Information/,service info mirror,LEMON Manuals,,2026-08-06,C1XX/LGX ECM scan-tool parameters,medium,Confirms oil life remaining calculated and measured oil pressure calculated and measured oil temperature current gear and trans-fluid-related ECM parameters; no raw DID IDs
SRC028,2022 Cadillac XT5 K71 TCM scan tool information 9T60 9T65,https://lemon-manuals.la/Cadillac/2022/XT5%20Premium%20Luxury%2C%203.6L%20Eng%20VIN%20S%2C%20FWD/Repair%20and%20Diagnosis/General%20Information/OEM%20General%20Information/Vehicle%20Diagnostic%20Scan%20Tool%20Information%20%282%20Of%203%29/Specifications/K71%20Transmission%20Control%20Module%3A%20Scan%20Tool%20Information%20%289T60%20%28M3G%29%20or%209T65%20%28M3W%29%29/,service info mirror,LEMON Manuals,,2026-08-06,C1XX/9T65 TCM scan-tool parameters,medium,Confirms TCM Current Gear Gear Command Transmission Fluid Temperature TCC Slip ISS OSS range sensors and typical TFT values; no raw DID IDs
SRC029,GM PIT5698C LIN Bus Diagnostic Information,https://ww7.oemdtc.com/10926/lin-bus-diagnostic-information-2014-2020-buick-cadillac-chevrolet-gmc/,service bulletin mirror,OEMDTC / GM,,2026-08-06,2013-2022 Enclave and GM LIN body topology,high,Explains LIN buses are not wired directly to DLC and driver door ajar can flow through window motor LIN to BCM; supports module/passive approach not raw DID confirmation
SRC030,2018 GMC Acadia K84 Keyless Entry scan tool information,https://lemon-manuals.org.ua/GMC/2018/Acadia%20SLE%2C%203.6L%20Eng%20VIN%20S%2C%204WD/Repair%20and%20Diagnosis/General%20Information/OEM%20General%20Information/Vehicle%20Diagnostic%20Information%20-%20Scan%20Tool%20Data%20Parameters%20%282%20Of%202%29/Specifications/K84%20Keyless%20Entry%20Control%20Module%3A%20Scan%20Tool%20Information/,service info mirror,LEMON Manuals,,2026-08-06,C1XX-adjacent body-alert scan-tool parameters,medium,Lists driver/passenger/rear door ajar/open and liftgate ajar/handle parameters for K84; no raw DID IDs
SRC031,2018 GMC Acadia K84 connector evidence,https://lemon-manuals.org.ua/GMC/2018/Acadia%20SLE%2C%203.6L%20Eng%20VIN%20S%2C%204WD/Repair%20and%20Diagnosis/Electrical/Wiring%20Diagrams/Component%20Connector%20End%20Views%20%28K39%20-%20M37%29/Component%20Connector%20End%20Views/K84%20Keyless%20Entry%20Control%20Module%20X1/,service info mirror,LEMON Manuals,,2026-08-06,C1XX-adjacent K84 wiring/topology,medium,Shows K84 low-speed GMLAN serial data plus driver/passenger/rear door handle and passive-entry antenna circuits
SRC032,C1XX K39 Liftgate scan tool information,https://lemon-manuals.org.ua/GMC/2018/Acadia%20SLE%2C%202.5L%20Eng%20VIN%20A%2C%20FWD/Repair%20and%20Diagnosis/General%20Information/OEM%20General%20Information/Vehicle%20Diagnostic%20Information%20-%20Scan%20Tool%20Data%20Parameters%20%282%20Of%202%29/Specifications/K39%20Liftgate%20Control%20Module%3A%20Scan%20Tool%20Information/,service info mirror,LEMON Manuals,,2026-08-06,C1XX-adjacent liftgate scan-tool parameters,medium,Lists liftgate latch pawl/ratchet/sector handle switch close switch mode switch object sensor and open/closed learned parameters; no raw DID IDs
SRC033,C1XX K39 Liftgate connector evidence,https://estimate.mymitchell.com/GMC/document/5/2/4/1/4/5241407.html,service info mirror,Mitchell / GM,,2026-08-06,C1XX-adjacent liftgate wiring/topology,medium,Shows K39 low-speed GMLAN serial data and rear-closure latch/status/handle/switch circuits
SRC034,2024 Enclave keyless entry parts fitment,https://www.gmpartsoutlet.net/v-2024-buick-enclave--avenir--3-6l-v6-gas/electrical--keyless-entry-components,parts catalog,OEM GM Parts,,2026-08-06,2024 Enclave same-generation module fitment,medium,Lists keyless-entry module fitment for Enclave with power/hands-free liftgate and related C1XX vehicles; supports 2024 Enclave as high-relevance scope evidence
SRC035,GM 9T65 diagnostic bulletin 20-NA-136,https://static.nhtsa.gov/odi/tsbs/2022/MC-10217052-0001.pdf,service bulletin,General Motors,,2026-08-06,2018-2022 Enclave and C1XX 9T65 validation,high,Lists Enclave/Traverse/Acadia/XT5/XT6 9T65 scope and scan-tool parameters including TFT ISS OSS command gear TCC pressure command and TCC slip speed
SRC036,GM Torque transmission temp method 3 discussion,https://www.irv2.com/threads/reading-transmission-temps-with-torque-app.1927553/,forum/community,iRV2 forum,,2026-08-06,GM broad trans temperature PID fallback,low,Lists GM transmission temperature method 3 as 221949 with equation (A-40)/0.75; older broad evidence not Enclave-specific
SRC037,OBDb Chevrolet Impala command update,https://github.com/OBDb/Chevrolet-Impala/commit/4834884f015593a9184e4fed461c29e23c6a28fe,structured command database,OBDb,jverkoey,2026-08-06,Modern GM/Chevrolet enhanced command leads,medium,Maps 221470 to Chevrolet oil pressure DA18.221940 to TFT DA18.221B30 to current gear/gear DA18.221991 to TCC slip/VSS and DA18.22295A to filtered TFT; route syntax is not directly WiCAN-ready
SRC038,2022 Buick Enclave owner manual oil life page,https://freshmanuals.com/buick/enclave/2022/8d5ac73fcb28fc590dd094e678d94de7_page275,owner manual mirror,Fresh Manuals / Buick,,2026-08-06,Direct 2022 Enclave oil-life DIC validation,medium,Confirms Remaining Oil Life is displayed in DIC and reset to 100 percent after oil change; no raw PID IDs
SRC039,GM oil life monitor operation bulletin 18-NA-125,https://static.nhtsa.gov/odi/tsbs/2024/MC-11001327-0001.pdf,service bulletin,General Motors,,2026-08-06,GM 2010-2025 OLM operation,high,Explains OLM calculation pathways using engine revolutions mileage cap and time; supports exact DIC comparison for any oil-life PID candidate
SRC040,OBDb Chevrolet Traverse raw command test cases,https://github.com/OBDb/Chevrolet-Traverse/tree/main/tests/test_cases/2023/commands,structured command database,OBDb,jverkoey,2026-08-06,C1XX sibling enhanced command evidence,high,Raw 2023 Traverse test cases confirm 7E2/7EA 221940 and 7E0/7E8 221154 221C1B 222344 222345 2211A6 responses with decoded expected values
