name,description,can_id,bus,can_speed,frame_length,start_byte,start_bit,bit_length,byte_order,signed,multiplier,offset,units,frequency,vehicles,platform,module,confidence,status,source_count,validation_method,notes
Engine General Status 5 OilTemperature,Passive oil temperature,0x4D1,HS-CAN candidate,500K,8,1,7,8,motorola,false,1,-40,C,unknown,Public GM HS-CAN DBC,GM Global A,ECM,Possible,passive_test_candidate,1,Compare 015C/221154,
Engine General Status 5 OilPressure,Passive oil pressure,0x4D1,HS-CAN candidate,500K,8,2,7,8,motorola,false,4,0,kPa,unknown,Public GM HS-CAN DBC,GM Global A,ECM,Possible,passive_test_candidate,1,Engine off zero and RPM behavior,
Transmission General Status 2 PRNDL,Passive transmission range,0x1F5,HS-CAN,500K,8,3,3,4,motorola,false,1,0,enum,observed,Public GM HS-CAN DBC/OpenDBC/HP Tuners GMLAN post plus live Enclave,GM Global A/C1XX,ECM/TCM,Confirmed,confirmed,4,Stationary PRNDL capture and WiCAN filter test,WiCAN expression B3 confirmed. Values 1 Park 2 Reverse 3 Neutral 4 Drive. Manual L uses B5 flag 2 and B3 12..4 for L1..L9
Low-speed DriverDoorOpened,Low-speed driver door status,0x10630000,SW-CAN/low-speed,varies,1,0,0,1,motorola,false,1,0,state,unknown,Generic GM Global A low speed,Global A,GMLAN,Possible,passive_test_candidate,1,Switch WiCAN to SW-CAN and open driver door,May not be on current HS-CAN mode
BCMGeneralPlatformStatus SystemPowerMode,Ignition power mode,0x1F1,HS-CAN candidate,500K,8,,1,2,motorola,false,1,0,enum,unknown,OpenDBC GM Global A and C1XX fingerprints,Global A/C1XX,K9_BCM,Strongly likely,passive_test_candidate,2,Compare off accessory run crank,Values 0 Off 1 Accessory 2 Run 3 Crank Request
BCMGeneralPlatformStatus ParkBrake,Park brake switch active,0x1F1,HS-CAN,500K,8,,36,1,motorola,false,1,0,state,observed,OpenDBC GM Global A and C1XX fingerprints plus live Enclave,Global A/C1XX,K9_BCM,Confirmed,confirmed,3,Toggle parking brake while parked,WiCAN expression (B4&16)/16 confirmed. 1 set and 0 released
ECMPRDNL2 PRNDL2,Passive PRNDL range,0x1F5,HS-CAN,500K,8,,27,4,motorola,false,1,0,enum,observed,OpenDBC GM Global A and C1XX fingerprints plus HP Tuners GMLAN post plus live Enclave,Global A/C1XX,K20_ECM,Confirmed,confirmed,4,Stationary PRNDL capture and WiCAN filter test,Observed Park Reverse Neutral Drive and L1 through L9. WiCAN expressions B3 and B5 are preferred for dashboard use
ECMPRDNL2 TransmissionState,Passive transmission state,0x1F5,HS-CAN candidate,500K,8,,48,4,intel,false,1,0,enum,unknown,OpenDBC GM Global A and C1XX fingerprints,Global A/C1XX,K20_ECM,Strongly likely,passive_test_candidate,2,Compare park reverse drive transitions,Values include 8 Disengaged 9 Forward 10 Reverse 11 Shifting
BCMTurnSignals HighBeamsActive,High beams active,0x140,HS-CAN candidate,500K,3,,7,1,motorola,false,1,0,state,unknown,OpenDBC generated GM powertrain DBC,Global A/C1XX,K9_BCM,Strongly likely,passive_test_candidate,1,Toggle high beams while parked,
BCMTurnSignals Intellibeam,Intellibeam active,0x140,HS-CAN candidate,500K,3,,13,1,motorola,false,1,0,state,unknown,OpenDBC generated GM powertrain DBC,Global A/C1XX,K9_BCM,Possible,passive_test_candidate,1,Toggle auto high beam setting if equipped,
Window Position Driver,Low-speed driver window position status,0x8064A000,SW-CAN/low-speed,varies,2,,2,3,motorola,false,1,0,raw 0-7,unknown,Generic GM Global A low-speed DBC,Global A,body,Possible,passive_test_candidate,1,Move driver window through positions,No enum in DBC
Window Position Passenger,Low-speed passenger window position status,0x8064A000,SW-CAN/low-speed,varies,2,,10,3,motorola,false,1,0,raw 0-7,unknown,Generic GM Global A low-speed DBC,Global A,body,Possible,passive_test_candidate,1,Move passenger window through positions,No enum in DBC
Window Position LeftRear,Low-speed left rear window position status,0x8064A000,SW-CAN/low-speed,varies,2,,5,3,motorola,false,1,0,raw 0-7,unknown,Generic GM Global A low-speed DBC,Global A,body,Possible,passive_test_candidate,1,Move left rear window through positions,No enum in DBC
Window Position RightRear,Low-speed right rear window position status,0x8064A000,SW-CAN/low-speed,varies,2,,13,3,motorola,false,1,0,raw 0-7,unknown,Generic GM Global A low-speed DBC,Global A,body,Possible,passive_test_candidate,1,Move right rear window through positions,No enum in DBC
Rear Closure Ajar,Rear closure or liftgate ajar switch,0x806AA000,SW-CAN/low-speed,varies,1,,0,1,motorola,false,1,0,state,unknown,Generic GM Global A low-speed DBC,Global A,body,Possible,passive_test_candidate,1,Open close liftgate and observe,
Power Liftgate In Motion,Power liftgate in motion state,0x805A0000,SW-CAN/low-speed,varies,4,,3,1,motorola,false,1,0,state,unknown,Generic GM Global A low-speed DBC,Global A,body,Possible,passive_test_candidate,1,Observe during liftgate motion if safe,
Power Liftgate Motor Status,Power liftgate motor status raw enum,0x805A0000,SW-CAN/low-speed,varies,4,,26,3,motorola,false,1,0,raw enum,unknown,Generic GM Global A low-speed DBC,Global A,body,Possible,passive_test_candidate,1,Observe during liftgate states,Do not transmit controls
Hood Status,Hood status raw enum with valid bit,0x80728000,SW-CAN/low-speed,varies,1,,1,2,motorola,false,1,0,raw enum,unknown,Generic GM Global A low-speed DBC,Global A,body,Possible,passive_test_candidate,1,Open close hood and observe,Valid bit at 2
TPMS LF Pressure,Left front tire pressure,0x803D4000,SW-CAN/low-speed,varies,6,,23,8,motorola,false,4,0,kPaG,unknown,Generic GM Global A low-speed DBC,Global A,RFA/TPMS,Possible,passive_test_candidate,1,Compare cluster TPMS,
TPMS RF Pressure,Right front tire pressure,0x803D4000,SW-CAN/low-speed,varies,6,,39,8,motorola,false,4,0,kPaG,unknown,Generic GM Global A low-speed DBC,Global A,RFA/TPMS,Possible,passive_test_candidate,1,Compare cluster TPMS,
TPMS LR Pressure,Left rear tire pressure,0x803D4000,SW-CAN/low-speed,varies,6,,31,8,motorola,false,4,0,kPaG,unknown,Generic GM Global A low-speed DBC,Global A,RFA/TPMS,Possible,passive_test_candidate,1,Compare cluster TPMS,
TPMS RR Pressure,Right rear tire pressure,0x803D4000,SW-CAN/low-speed,varies,6,,47,8,motorola,false,4,0,kPaG,unknown,Generic GM Global A low-speed DBC,Global A,RFA/TPMS,Possible,passive_test_candidate,1,Compare cluster TPMS,
Remote Start Status,Remote start status bit,0x80390000,SW-CAN/low-speed,varies,1,,0,1,motorola,false,1,0,state,unknown,Generic GM Global A low-speed DBC,Global A,body,Possible,passive_test_candidate,1,Observe only if remote start is used,Do not transmit remote start commands
RFA Key Not Present,Key ID device not present indicator,0x80288000,SW-CAN/low-speed,varies,3,,1,1,motorola,false,1,0,state,unknown,Generic GM Global A low-speed DBC,Global A,RFA,Possible,passive_test_candidate,1,Compare key inside vs outside vehicle,
Lighting Status Brake Lights,Brake lights active,0x8020C000,SW-CAN/low-speed,varies,5,,15,1,motorola,false,1,0,state,unknown,Generic GM Global A low-speed DBC,Global A,BCM,Possible,passive_test_candidate,1,Press brake while parked,
Lighting Status Reverse Lamp,Reverse lamp active,0x8020C000,SW-CAN/low-speed,varies,5,,17,1,motorola,false,1,0,state,unknown,Generic GM Global A low-speed DBC,Global A,BCM,Possible,passive_test_candidate,1,Compare reverse gear safely,
Battery SOC Low Speed,Battery state of charge,0x80248000,SW-CAN/low-speed,varies,7,,31,8,motorola,false,0.392157,0,%,unknown,Generic GM Global A low-speed DBC,Global A,body/power,Possible,passive_test_candidate,1,Compare battery monitor if available,
Battery Current Filtered Low Speed,Filtered battery current,0x80248000,SW-CAN/low-speed,varies,7,,47,8,motorola,true,0.5,0,A,unknown,Generic GM Global A low-speed DBC,Global A,body/power,Possible,passive_test_candidate,1,Observe charge and load changes,
